OCPID,Strain,SampleID,DateRecorded,ReportType,ChemicalLab,H2O,TotalTHC,THC,Δ8-THC,Δ9-THC,THCA,THCV,TotalCBD,CBDA,CBDV,CBDVA,CBC,CBG,CBN,α-Pinene,Camphene,Myrcene,β-Pinene,3-Carene,α-Terpinene,D-Limonene,p-Cymene,Ocimene,Eucalyptol,γ-Terpinene,Terpinolene,Linalool,Isopulegol,Geraniol,β-Caryophyllene,α-Humelene,Nerolidol-1,Nerolidol-2,Guaiol,CaryophylleneOxide,α-Bisabolol,GeneticLab,Sample,SampleURL,Organism,OrganismURL,Project,ProjectURL,Study,StudyURL,Run,RunURL,DatePublished,Spots,Bases,Size,Notes
0001264,Kazakhstan,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05938252,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05938252"" target=""_blank"">SAMN05938252</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448783,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448783"" target=""_blank""><small>SRR4448783</small></a>",2016-10-25,802941,121156829,43.5 MB,
0001265,Kazakhstan,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05938230,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05938230"" target=""_blank"">SAMN05938230</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448784,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448784"" target=""_blank""><small>SRR4448784</small></a>",2016-10-25,9240628,1395088476,481.9 MB,
0001266,Agent Orange x 501OG,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05938215,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05938215"" target=""_blank"">SAMN05938215</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448785,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448785"" target=""_blank""><small>SRR4448785</small></a>",2016-10-25,18625718,2810794834,1.1 GB,
0001267,Nepal Pahari,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05938269,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05938269"" target=""_blank"">SAMN05938269</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448786,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448786"" target=""_blank""><small>SRR4448786</small></a>",2016-10-25,776385,116866962,42.0 MB,
0001268,Cinex x 501OG,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05938217,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05938217"" target=""_blank"">SAMN05938217</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448787,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448787"" target=""_blank""><small>SRR4448787</small></a>",2016-10-25,11683055,1762449060,677.3 MB,
0001269,Cinex x 501OG,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05938216,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05938216"" target=""_blank"">SAMN05938216</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448788,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448788"" target=""_blank""><small>SRR4448788</small></a>",2016-10-25,7135220,1077030203,412.8 MB,
0001270,Fertodi Hungary,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05938219,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05938219"" target=""_blank"">SAMN05938219</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448789,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448789"" target=""_blank""><small>SRR4448789</small></a>",2016-10-25,8741449,1318910213,517.0 MB,
0001271,Hybrid Krasnodarskii 10 FB Russia,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05938232,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05938232"" target=""_blank"">SAMN05938232</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448790,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448790"" target=""_blank""><small>SRR4448790</small></a>",2016-10-25,5827076,876958925,302.1 MB,
0001272,Agent Orange,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05938221,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05938221"" target=""_blank"">SAMN05938221</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448791,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448791"" target=""_blank""><small>SRR4448791</small></a>",2016-10-25,7157377,1080401684,415.1 MB,
0001273,Colombia Sabanira,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05938268,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05938268"" target=""_blank"">SAMN05938268</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448792,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448792"" target=""_blank""><small>SRR4448792</small></a>",2016-10-25,634061,91282674,33.5 MB,
